"","index","status"
"1",26.7470998358985," good"
"2",53.7557322900317," good"
"3",15.3396397523548," good"
"4",24.6975862795257," good"
"5",16.2318196128061," good"
"6",28.2589617739626," good"
"7",32.1084572677705," good"
"8",59.4325818309299," good"
"9",16.0523033790688," good"
"10",52.03321100565," good"
"11",24.8016559740235," good"
"12",29.9491548611127," good"
"13",53.4798016171438," good"
"14",50.7698214168489," good"
"15",115.761776288287," good"
"16",33.9315920824843," good"
"17",91.9758705176123," good"
"18",15.4080478874847," good"
"19",23.0736964721043," good"
"20",17.4263729214581," good"
"21",18.0458689944755," good"
"22",41.1985986491342," good"
"23",24.110726710252," good"
"24",74.9983986999024," good"
"25",20.5498271732317," good"
"26",27.6448199571137," good"
"27",24.2830462192505," good"
"28",54.8416634006043," good"
"29",20.7654452377002," good"
"30",18.755938161827," good"
"31",18.443963381012," good"
"32",21.5649122513918," good"
"33",30.6151891633086," good"
"34",18.7209327738598," good"
"35",20.1637639082116," good"
"36",32.5608073148563," good"
"37",73.5235549894083," good"
"38",25.8392852917603," good"
"39",24.7114181796614," good"
"40",8.64722023068119," good"
"41",15.475435799587," good"
"42",48.6656485900015," good"
"43",25.1649154809413," good"
"44",17.8085865801441," good"
"45",31.1792856619501," good"
"46",26.8214018366042," good"
"47",11.3365063960581," good"
"48",36.6642566308392," good"
"49",25.0020808197245," good"
"50",12.1679497811573," good"
"51",17.790919131717," good"
"52",17.8723928789532," good"
"53",27.7504233732743," good"
"54",32.6360113737903," good"
"55",48.3022882547669," good"
"56",34.4457325758752," good"
"57",23.9921066870284," good"
"58",21.1917530284447," good"
"59",77.3723267555706," good"
"60",39.8694200833577," good"
"61",51.3744457685228," good"
"62",14.4278039820076," good"
"63",6.86137831009421," good"
"64",22.3579954996765," good"
"65",58.8140315707193," good"
"66",23.1466262967645," good"
"67",51.9394019260925," good"
"68",52.8613228631885," good"
"69",18.4478220292071," good"
"70",11.0777773263493," good"
"71",70.0212489747039," good"
"72",50.669365186463," good"
"73",28.7607809215313," good"
"74",27.1775879076028," good"
"75",10.0800908869351," good"
"76",36.7650197960655," good"
"77",30.5299438543957," good"
"78",18.5886497215234," good"
"79",16.8046909727187," good"
"80",44.4589558700472," good"
"81",33.2317142808116," good"
"82",14.6846286118923," good"
"83",25.4610883764633," good"
"84",10.5817603561741," good"
"85",17.5424853569401," good"
"86",30.8840440195078," good"
"87",38.3971276837135," good"
"88",34.6394642234881," good"
"89",25.0731273404867," good"
"90",35.5272710331045," good"
"91",39.6941344862312," good"
"92",41.1192140353331," good"
"93",8.17928131831123," good"
"94",29.152826087312," good"
"95",11.7079054449969," good"
"96",12.6735972309091," good"
"97",42.0397695235968," good"
"98",32.5950323194104," good"
"99",70.024740836359," good"
"100",23.9510201779082," good"
"101",28.7947127556387," good"
"102",25.5110264746349," good"
"103",131.637618740185," good"
"104",21.9596598662434," good"
"105",31.7427066805908," good"
"106",37.3229660977188," good"
"107",10.6795427609561," good"
"108",100.777962671285," good"
"109",21.4900739562841," good"
"110",44.1100161099204," good"
"111",23.6995054095776," good"
"112",28.7931027960627," good"
"113",25.5178550018377," good"
"114",48.6120981960354," good"
"115",35.5011447190585," good"
"116",26.9946190055998," good"
"117",84.9028873157944," good"
"118",12.1082942631098," good"
"119",54.022481701119," good"
"120",17.2172951907531," good"
"121",39.6517434435757," good"
"122",23.5587247761886," good"
"123",35.8490174158504," good"
"124",18.4198398748323," good"
"125",61.609874248266," good"
"126",35.7438746418882," good"
"127",71.8125976940026," good"
"128",13.1168727314306," good"
"129",57.6684019640573," good"
"130",35.0331298628608," good"
"131",27.544536826991," good"
"132",26.2795950646245," good"
"133",11.8512292773508," good"
"134",66.8224280505318," good"
"135",48.7209151301701," good"
"136",26.4345576936055," good"
"137",44.9494420495374," good"
"138",48.9545298831336," good"
"139",126.253260778263," good"
"140",18.1370217262232," good"
"141",18.3536903982836," good"
"142",58.3949978191035," good"
"143",22.8425673713275," good"
"144",59.2451534156397," good"
"145",40.3670159398342," good"
"146",13.4577976326056," good"
"147",36.8211848517569," good"
"148",37.7104492418147," good"
"149",20.586584357621," good"
"150",35.7057755748241," good"
"151",29.763485845585," good"
"152",26.693301352304," good"
"153",16.8978783153002," good"
"154",36.8498735043646," good"
"155",20.9471265537088," good"
"156",23.1204264752615," good"
